person,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,sex_0,sex_female,sex_male,Year_2012,Year_2014,Year_2016,Year_2018,ethnicity_0,ethnicity_asian,ethnicity_black,ethnicity_hispanic,ethnicity_islander,ethnicity_native,ethnicity_white,party_short_D,party_short_N,party_short_R,MODELING_GROUP,Disney_Donations_Diff,Bloomberg_Donations_Diff,Citadel_Donations_Diff
9,0.6,0.42857142857142855,0.4444444444444444,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,TESTING,,,0.0
10,0.6,0.2857142857142857,0.4444444444444444,0.25,0.3333333333333333,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,TRAINING,-1000.0,,0.0
10,1.0,1.0,1.0,1.0,0.6666666666666666,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,TRAINING,,,
10,0.5,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,TRAINING,2000.0,,0.0
10,0.6666666666666666,0.8,0.3333333333333333,0.4,0.5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,TRAINING,0.0,,0.0
11,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,TRAINING,,,
11,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
11,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
11,0.0,0.16666666666666666,0.3333333333333333,0.42857142857142855,0.6666666666666666,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
12,0.0,0.16666666666666666,0.3333333333333333,0.42857142857142855,0.6666666666666666,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,TESTING,,,0.0
12,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,TESTING,,,0.0
12,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,TESTING,,,0.0
12,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,TESTING,,,
13,0.25,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TRAINING,,,0.0
13,1.0,0.8,0.3333333333333333,0.4,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,TRAINING,,,0.0
13,0.8,0.42857142857142855,0.5555555555555556,0.0,0.3333333333333333,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,TRAINING,,,0.0
13,1.0,1.0,0.6666666666666666,1.0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,TRAINING,,,
14,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,TRAINING,,,
14,0.4,0.2857142857142857,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
14,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
14,0.5,0.5,0.6666666666666666,0.8571428571428571,0.6666666666666666,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
15,0.25,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,TRAINING,0.0,,0.0
15,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,TRAINING,0.0,,0.0
15,0.4,0.14285714285714285,0.3333333333333333,0.25,0.3333333333333333,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,TRAINING,3700.0,,0.0
15,0.0,0.0,1.0,1.0,1.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,TRAINING,,,
16,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,TESTING,0.0,,0.0
16,0.0,0.8,0.3333333333333333,0.4,0.25,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,TESTING,0.0,,0.0
16,0.0,0.14285714285714285,0.3333333333333333,0.25,0.3333333333333333,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,TESTING,3700.0,,0.0
16,0.0,0.0,1.0,1.0,1.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,TESTING,,,
17,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,TRAINING,,,
17,0.0,0.8,0.3333333333333333,0.4,0.25,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,TRAINING,,,0.0
17,0.0,0.16666666666666666,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,TRAINING,,,0.0
17,0.2,0.2857142857142857,0.4444444444444444,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,TRAINING,,,0.0
18,0.5,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TRAINING,,,0.0
18,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,TRAINING,,,0.0
18,0.8,0.2857142857142857,0.4444444444444444,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,TRAINING,,,0.0
18,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,TRAINING,,,
19,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,TRAINING,,,
19,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TRAINING,,,0.0
19,0.3333333333333333,0.8,0.3333333333333333,0.4,0.75,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,TRAINING,,,0.0
19,0.8,0.2857142857142857,0.4444444444444444,0.25,0.3333333333333333,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,TRAINING,,,0.0
20,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,TESTING,,,
20,0.6,0.14285714285714285,0.2222222222222222,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,TESTING,0.0,,0.0
20,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,TESTING,-1000.0,,0.0
20,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TESTING,1000.0,,0.0
21,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,TESTING,,,
21,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.3333333333333333,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TESTING,0.0,,0.0
21,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,TESTING,0.0,,0.0
21,0.8,0.14285714285714285,0.3333333333333333,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,TESTING,80.0,,0.0
22,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,TESTING,,,0.0
22,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,TESTING,,,0.0
22,0.25,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,TESTING,,,0.0
22,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,TESTING,,,
23,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,TRAINING,,,
23,0.4,0.42857142857142855,0.3333333333333333,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,TRAINING,0.0,,0.0
23,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TRAINING,-250.0,,0.0
23,0.3333333333333333,0.6,0.0,0.2,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,TRAINING,0.0,,0.0
24,0.5,0.5,0.3333333333333333,0.5714285714285714,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TESTING,,,0.0
24,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,TESTING,,,0.0
24,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,TESTING,,,0.0
24,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,TESTING,,,
25,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,TRAINING,,,
25,0.0,0.5,0.3333333333333333,0.5714285714285714,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TRAINING,,,0.0
25,0.0,0.8,0.3333333333333333,0.4,0.5,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,TRAINING,,,0.0
25,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,TRAINING,,,0.0
26,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,TRAINING,,,
26,0.4,0.2857142857142857,0.3333333333333333,0.25,0.3333333333333333,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,TRAINING,,,0.0
26,0.25,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TRAINING,,,0.0
26,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,TRAINING,,,0.0
27,1.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,TESTING,,,
27,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,TESTING,,,0.0
27,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,TESTING,,,0.0
27,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,TESTING,,,0.0
28,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,TESTING,,,0.0
28,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,TESTING,,,
28,0.5,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.6666666666666666,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,TESTING,,,0.0
28,0.3333333333333333,0.8,0.6666666666666666,0.4,0.25,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,TESTING,,,0.0
29,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,TRAINING,,,
29,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
29,0.5,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.6666666666666666,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
29,0.6666666666666666,0.0,0.3333333333333333,0.6,0.25,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
30,0.5,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.3333333333333333,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
30,0.6666666666666666,0.8,0.3333333333333333,0.4,0.5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
30,0.8,0.2857142857142857,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,TRAINING,,,0.0
30,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,TRAINING,,,
